Time	Price (ETH/USD) – Ethereum
16.03.2016	12.777778
17.03.2016	12.7
18.03.2016	10.85713
19.03.2016	10.497652
20.03.2016	10.44
21.03.2016	10.136951
22.03.2016	11.705253
23.03.2016	11.16
24.03.2016	12.341706
25.03.2016	11.197317
26.03.2016	10.6047945
27.03.2016	10.868478
28.03.2016	10.332486
29.03.2016	11.628749
30.03.2016	11.715065
31.03.2016	11.89812
01.04.2016	11.38021
02.04.2016	11.673825
03.04.2016	11.5991
04.04.2016	11.642455
05.04.2016	11.176207
06.04.2016	10.350475
07.04.2016	10.685965
08.04.2016	10.143272
09.04.2016	9.73
10.04.2016	9.129262
11.04.2016	8.839477
12.04.2016	8.710231
13.04.2016	7.4655657
14.04.2016	8.154303
15.04.2016	8.55
16.04.2016	8.243733
17.04.2016	8.7137575
18.04.2016	9.3
19.04.2016	9.074206
20.04.2016	8.763303
21.04.2016	8.500359
22.04.2016	8.263118
23.04.2016	7.883762
24.04.2016	8.357474
25.04.2016	8.052316
26.04.2016	7.6145124
27.04.2016	7.4
28.04.2016	7.7191105
29.04.2016	7.2
30.04.2016	7.4402657
01.05.2016	8.755
02.05.2016	8.8
03.05.2016	10.108277
04.05.2016	9.33
05.05.2016	9.362272
06.05.2016	9.773396
07.05.2016	9.36594
08.05.2016	9.390163
09.05.2016	9.549891
10.05.2016	9.296396
11.05.2016	9.379072
12.05.2016	9.871518
13.05.2016	10
14.05.2016	10.498201
15.05.2016	10.19
16.05.2016	9.950167
17.05.2016	11.207816
18.05.2016	12.189779
19.05.2016	13.363662
20.05.2016	14.65
21.05.2016	13.333254
22.05.2016	13.76005
23.05.2016	14.077772
24.05.2016	13.195791
25.05.2016	12.688604
26.05.2016	12.6
27.05.2016	12.32
28.05.2016	11.186739
29.05.2016	11.103511
30.05.2016	12.4
31.05.2016	12.784486
01.06.2016	13.940198
02.06.2016	13.944049
03.06.2016	13.71
04.06.2016	13.816671
05.06.2016	13.811536
06.06.2016	14
07.06.2016	13.938918
08.06.2016	14.49
09.06.2016	14.41
10.06.2016	14.3810005
11.06.2016	13.873205
12.06.2016	14.041487
13.06.2016	15.410826
14.06.2016	17.2481
15.06.2016	18.509
16.06.2016	18.29
17.06.2016	20.500002
18.06.2016	15.33
19.06.2016	11.33269
20.06.2016	12.24
21.06.2016	11.589034
22.06.2016	13.140179
23.06.2016	13.305242
24.06.2016	13.909886
25.06.2016	14.25
26.06.2016	14.178541
27.06.2016	13.914999
28.06.2016	13.954
29.06.2016	12.184303
30.06.2016	12.522
01.07.2016	12.507815
02.07.2016	12.146731
03.07.2016	12.080494
04.07.2016	11.736685
05.07.2016	11.471076
06.07.2016	10.66709
07.07.2016	10.4888
08.07.2016	10.138889
09.07.2016	11.332847
10.07.2016	10.989999
11.07.2016	10.9
12.07.2016	10.460002
13.07.2016	10.4898
14.07.2016	10.554
15.07.2016	11.501111
16.07.2016	11.9484
17.07.2016	11.650001
18.07.2016	11.329009
19.07.2016	11.130615
20.07.2016	11.67003
21.07.2016	12.45
22.07.2016	12.61
23.07.2016	14.6
24.07.2016	14.25
25.07.2016	12.83043
26.07.2016	13.8
27.07.2016	12.12
28.07.2016	13.133518
29.07.2016	12.825
30.07.2016	12.749737
31.07.2016	12.45
01.08.2016	11.865123
02.08.2016	10.928889
03.08.2016	8.51
04.08.2016	10.355
05.08.2016	11.1
06.08.2016	10.870003
07.08.2016	10.81
08.08.2016	11.12
09.08.2016	11.28
10.08.2016	12.493726
11.08.2016	12.27144
12.08.2016	11.650433
13.08.2016	11.737246
14.08.2016	11.589566
15.08.2016	11.127
16.08.2016	11.169999
17.08.2016	11.105339
18.08.2016	10.785416
19.08.2016	10.753738
20.08.2016	10.77
21.08.2016	11.229001
22.08.2016	11.18
23.08.2016	11.139999
24.08.2016	10.970003
25.08.2016	11.022901
26.08.2016	11.30359
27.08.2016	11.201268
28.08.2016	11.149999
29.08.2016	10.9282255
30.08.2016	10.99905
31.08.2016	11.3
01.09.2016	11.67
02.09.2016	11.999098
03.09.2016	12.161233
04.09.2016	11.970533
05.09.2016	11.732173
06.09.2016	11.8499975
07.09.2016	11.750002
08.09.2016	11.61
09.09.2016	11.55
10.09.2016	11.682135
11.09.2016	12.24
12.09.2016	11.658307
13.09.2016	11.905107
14.09.2016	11.981133
15.09.2016	12.003193
16.09.2016	12.06244
17.09.2016	12.670022
18.09.2016	12.74
19.09.2016	12.496745
20.09.2016	13.2
21.09.2016	14.240753
22.09.2016	13.722815
23.09.2016	13.3
24.09.2016	13.362742
25.09.2016	12.853657
26.09.2016	13.13
27.09.2016	12.91243
28.09.2016	13.068915
29.09.2016	13.3
30.09.2016	13.06
01.10.2016	13.219316
02.10.2016	13.14235
03.10.2016	13.16
04.10.2016	13.382085
05.10.2016	13.2295685
06.10.2016	13.023
07.10.2016	12.85
08.10.2016	12.745
09.10.2016	12.169863
10.10.2016	12.113449
11.10.2016	11.706
12.10.2016	11.7300005
13.10.2016	11.916387
14.10.2016	12.033865
15.10.2016	11.9
16.10.2016	12.044349
17.10.2016	12
18.10.2016	12.01259
19.10.2016	12.57
20.10.2016	12.038
21.10.2016	12.15812
22.10.2016	12.1412115
23.10.2016	12.217538
24.10.2016	12.033617
25.10.2016	11.978
26.10.2016	11.481999
27.10.2016	11.553768
28.10.2016	11.432022
29.10.2016	11.138401
30.10.2016	10.43
31.10.2016	11.209411
01.11.2016	10.949999
02.11.2016	10.837499
03.11.2016	10.90249
04.11.2016	10.820001
05.11.2016	11.21
06.11.2016	11.1
07.11.2016	10.9889965
08.11.2016	10.9
09.11.2016	10.9
10.11.2016	10.729991
11.11.2016	10.59371
12.11.2016	10.28
13.11.2016	9.907234
14.11.2016	10.099904
15.11.2016	9.950345
16.11.2016	10.2
17.11.2016	10.048334
18.11.2016	10.019995
19.11.2016	9.52648
20.11.2016	9.728002
21.11.2016	9.549716
22.11.2016	9.5500345
23.11.2016	9.803288
24.11.2016	9.756655
25.11.2016	9.210265
26.11.2016	9.403768
27.11.2016	9.29
28.11.2016	8.903005
29.11.2016	8.729928
30.11.2016	8.09
01.12.2016	8.506746
02.12.2016	8.433367
03.12.2016	7.708717
04.12.2016	7.86
05.12.2016	7.3700004
06.12.2016	6.778
07.12.2016	7.8030767
08.12.2016	8.379998
09.12.2016	8.2
10.12.2016	8.38
11.12.2016	8.07
12.12.2016	8.1756
13.12.2016	8.480001
14.12.2016	8.373999
15.12.2016	8.200004
16.12.2016	7.852351
17.12.2016	7.862273
18.12.2016	7.89
19.12.2016	7.8469267
20.12.2016	7.6578584
21.12.2016	7.64
22.12.2016	7.826
23.12.2016	7.55
24.12.2016	7.1307983
25.12.2016	7.2371225
26.12.2016	7.168
27.12.2016	7.26
28.12.2016	7.181
29.12.2016	7.5726485
30.12.2016	8.242346
31.12.2016	8.152753
01.01.2017	8.044822
02.01.2017	8.201261
03.01.2017	8.345205
04.01.2017	9.653
05.01.2017	11
06.01.2017	10.198
07.01.2017	10.055036
08.01.2017	9.812384
09.01.2017	10.347573
10.01.2017	10.418
11.01.2017	10.550015
12.01.2017	9.675585
13.01.2017	9.733
14.01.2017	9.651186
15.01.2017	9.66945
16.01.2017	9.69223
17.01.2017	9.550573
18.01.2017	10.273665
19.01.2017	10.231692
20.01.2017	10.388598
21.01.2017	10.594562
22.01.2017	10.93
23.01.2017	10.62
24.01.2017	10.770425
25.01.2017	10.514627
26.01.2017	10.431659
27.01.2017	10.598265
28.01.2017	10.459134
29.01.2017	10.545
30.01.2017	10.41
31.01.2017	10.52
01.02.2017	10.627865
02.02.2017	10.67
03.02.2017	10.761008
04.02.2017	10.98
05.02.2017	11.29
06.02.2017	11.13
07.02.2017	11.265
08.02.2017	11.444
09.02.2017	11.320785
10.02.2017	10.943
11.02.2017	11.26
12.02.2017	11.279594
13.02.2017	11.34
14.02.2017	11.291395
15.02.2017	13.093077
16.02.2017	12.939001
17.02.2017	12.887298
18.02.2017	12.7206545
19.02.2017	12.799658
20.02.2017	12.78214
21.02.2017	12.43
22.02.2017	12.816202
23.02.2017	12.650126
24.02.2017	13.200001
25.02.2017	13.074592
26.02.2017	13.573924
27.02.2017	14.59
28.02.2017	15.517727
01.03.2017	15.622
02.03.2017	17.44
03.03.2017	18.972013
04.03.2017	19.561106
05.03.2017	18.458244
06.03.2017	19.35
07.03.2017	19.557465
08.03.2017	18.849066
09.03.2017	16.488
10.03.2017	17.734436
11.03.2017	19.391129
12.03.2017	21.31
13.03.2017	23.24
14.03.2017	28.22
15.03.2017	28.68
16.03.2017	34.966198
17.03.2017	45
18.03.2017	44.4433
19.03.2017	33.89
20.03.2017	43
21.03.2017	42
22.03.2017	42.443413
23.03.2017	41.36
24.03.2017	43.25
25.03.2017	53.67502
26.03.2017	51.18
27.03.2017	50.34986
28.03.2017	48.76
29.03.2017	50.2
30.03.2017	52.8369
31.03.2017	51.503193
01.04.2017	49.47364
02.04.2017	50.45001
03.04.2017	48.33605
04.04.2017	44
05.04.2017	44.37325
06.04.2017	45.21322
07.04.2017	43.326
08.04.2017	42.308804
09.04.2017	44.78243
10.04.2017	44
11.04.2017	44.13722
12.04.2017	44.087696
13.04.2017	46.91
14.04.2017	50.55
15.04.2017	48.5
16.04.2017	49.67133
17.04.2017	49.63447
18.04.2017	49.6
19.04.2017	52.489
20.04.2017	49.95861
21.04.2017	52
22.04.2017	51.3
23.04.2017	52.16991
24.04.2017	53.01625
25.04.2017	53.472187
26.04.2017	53.749992
27.04.2017	57.35718
28.04.2017	67.98637
29.04.2017	75.85
30.04.2017	73.5
01.05.2017	83.6
02.05.2017	81.49534
03.05.2017	82.34991
04.05.2017	85.8
05.05.2017	99.2
06.05.2017	91.87861
07.05.2017	96.6
08.05.2017	94.69993
09.05.2017	89
10.05.2017	88.52073
11.05.2017	88.455215
12.05.2017	88.99177
13.05.2017	86.99947
14.05.2017	89.99967
15.05.2017	90.2
16.05.2017	92.5
17.05.2017	88.276535
18.05.2017	89.3485
19.05.2017	98.4
20.05.2017	124.57335
21.05.2017	123.45124
22.05.2017	146.4
23.05.2017	156
24.05.2017	167.99992
25.05.2017	183.99992
26.05.2017	166.24913
27.05.2017	153.10675
28.05.2017	150
29.05.2017	162
30.05.2017	189
31.05.2017	226.99992
01.06.2017	217.75
02.06.2017	211.44
03.06.2017	215.3
04.06.2017	215.82729
05.06.2017	241.25
06.06.2017	242.1
07.06.2017	262.6
08.06.2017	250.50005
09.06.2017	258.3993
10.06.2017	278.84973
11.06.2017	325.99994
12.06.2017	335
13.06.2017	386.50006
14.06.2017	382.3
15.06.2017	335.53
16.06.2017	339
17.06.2017	348.555
18.06.2017	363.26013
19.06.2017	348
20.06.2017	357
21.06.2017	348.99994
22.06.2017	323
23.06.2017	321.10034
24.06.2017	323.98553
25.06.2017	296.51328
26.06.2017	276.40018
27.06.2017	251.5
28.06.2017	279.636
29.06.2017	311.766
30.06.2017	285.82797
01.07.2017	276
02.07.2017	255
03.07.2017	277.48486
04.07.2017	274.98
05.07.2017	266.7
06.07.2017	265.6392
07.07.2017	264.86804
08.07.2017	237.89015
09.07.2017	245.77579
10.07.2017	234.9
11.07.2017	201.20682
12.07.2017	188.10007
13.07.2017	224
14.07.2017	204.8
15.07.2017	196.51111
16.07.2017	170.01
17.07.2017	157.38042
18.07.2017	189.6
19.07.2017	226
20.07.2017	194.99992
21.07.2017	226.88681
22.07.2017	216.57272
23.07.2017	233
24.07.2017	227.7
25.07.2017	226.8
26.07.2017	202.513
27.07.2017	203.014
28.07.2017	202.8
29.07.2017	191.65298
30.07.2017	207.46
31.07.2017	194.751
01.08.2017	200.49
02.08.2017	226.1
03.08.2017	217.504
04.08.2017	224.6
05.08.2017	220.40672
06.08.2017	254.09
07.08.2017	264.51
08.08.2017	269.5356
09.08.2017	296.43332
10.08.2017	294
11.08.2017	298.19992
12.08.2017	309
13.08.2017	307.71
14.08.2017	296.85
15.08.2017	298.06
16.08.2017	285.47025
17.08.2017	301.98608
18.08.2017	299
19.08.2017	292.03082
20.08.2017	292.22775
21.08.2017	298.7
22.08.2017	321.00006
23.08.2017	310.2255
24.08.2017	316.5
25.08.2017	325.00006
26.08.2017	328.4
27.08.2017	333.49976
28.08.2017	347.26324
29.08.2017	347.00018
30.08.2017	372.6075
31.08.2017	383.5
01.09.2017	386.35
02.09.2017	389.49
03.09.2017	344.85342
04.09.2017	350.671
05.09.2017	296.51053
06.09.2017	315.83942
07.09.2017	336.65015
08.09.2017	335
09.09.2017	305
10.09.2017	303.88513
11.09.2017	298.24023
12.09.2017	297.32254
13.09.2017	294.40802
14.09.2017	276.49985
15.09.2017	222.5
16.09.2017	258.6664
17.09.2017	253.73656
18.09.2017	257.59937
19.09.2017	296.9165
20.09.2017	283.01236
21.09.2017	283.311
22.09.2017	257.36716
23.09.2017	262.0666
24.09.2017	286.1276
25.09.2017	282.7492
